doc_id,Question,Answer,frequency
2.0,ازاي الشجر بيساعد في صحة الاشخاص؟,الأشجار بتساعد في مواجهة تغير المناخ. يعني,4
2.0,ازاي الشجر بيساعد في صحة الاشخاص؟,الأشجار بتساعد كمان في تخفيف حدة الجو. يعني في الصيف,4
18.0,ايه هو المخ؟,"ده كمان مسؤول عن مشاعرنا وذكرياتنا وكل حاجة بنعيشها.
أول حاجة لما بنتكلم عن العقل",4
2.0, الشجر بيأثر علي التلوثات؟,الأشجار بتساعد في مواجهة تغير المناخ. يعني,4
2.0,ازاي الشجر بيساعد في صحة الاشخاص؟,دي حاجة أساسية في حياتنا وبيئتنا. الأشجار مش بس بتزين الشوارع والحدائق,4
8.0, شرب السجارة مؤثر علي الشغل؟,السجاير بيكون ليها تأثير على البيئة. يعني,4
18.0, ايه المشكلات اللي بيقابلها المخ؟,هو اللي بيميزنا عن باقي المخلوقات. العقل ده مش بس عبارة عن تفكير وحل مشاكل,4
1.0,التصنيع ده بيستخدم ايه بشكل كتير اوي؟,"وده بيأثر على استخدامه في الطباعة والتغليف وغيرها من الاستخدامات.
ومش بس كده",4
7.0, علاقة البلاد كانت متطورة وقتها؟,"كان فيه تنوع كبير في الأنشطة الاجتماعية.
وكمان",4
19.0, بنتعلم اي من الظاهرة و المعاملة تبقي ازاي مع الدنيا؟,النهاردة هنتكلم عن حاجة غريبة ومدهشة في نفس الوقت,4
17.0, ايه اكتر لعبة البيبي بيحبها؟,النهاردة هنتكلم عن موضوع مهم وقريب لقلوبنا كلنا,4
9.0,لو انا مقريف اشرب ايه؟,القهوة مش بس مشروب,4
8.0, ايه المرض اللي بيجي من السجارة؟,السجاير بيكون ليها تأثير على البيئة. يعني,4
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,بيبقى ليهم تأثير سحري على الكبار. الطفل المصري بيتربى في جو عائلي دافئ,4
17.0, ايه اكتر لعبة البيبي بيحبها؟,والضحكة مش بتفارق وشوشهم. اللعب ده مش بس وسيلة تسلية,4
4.0,الميكاب عبارة عن ايه؟,المكياج بيكون ليه دور كبير في الاحتفالات. يعني,4
4.0, انواع الميكاب ايه؟,"وبيكون فيه تركيز على المكونات الطبيعية.
وفي موضوع المكياج",4
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,الأطفال بيكون ليهم دور كبير. بيتلبسوا أحلى اللبس,4
17.0, ايه اكتر لعبة البيبي بيحبها؟,الأطفال بيكون ليهم دور كبير. بيتلبسوا أحلى اللبس,4
12.0,ازاي احمي البيوت بالمعادن؟,"الحديد بيساعد على خلق بيئة ترفيهية آمنة للأطفال.
وكمان",3
10.0, الخضراوات بيمنع عننا مرض زي ايه؟,الخضار بتكون ليها دور في الحفاظ على صحة الجسم. يعني,3
13.0, المعدن النفيس ده ليه فايدة إيه في البورصة والاستثمار؟,الذهب بيكون ليه دور في الصناعات الدوائية والتجميلية. يعني,3
4.0, هو لازم يشيلوا الميكب قبل ما يناموا؟,الشباب بقوا يهتموا بالمكياج كمان. يعني المكياج بقى مش بس للستات,3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,بعض الأمهات بيمروا بتغيرات نفسية زي الاكتئاب بعد الولادة,3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,العادات والتقاليد بتلعب دور كبير في تجربة الولادة. يعني,3
4.0,الميكاب عبارة عن ايه؟,"من المكياج الناعم للمكياج الجريء.
ومش بس كده",3
11.0, الطقس المحيط بينا بيأثر على البشرة ازاي؟,الوعي بأهمية الفحص الدوري للجلد بيزيد. يعني,3
18.0, ايه المشكلات اللي بيقابلها المخ؟,"وده كله بيجي من قوة العقل والإرادة.
ومش بس كده",3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,بيكون فيه اهتمام بتعليم الأمهات الجدد مهارات العناية بالرضع. ده بيشمل العناية بالطفل,3
17.0, ايه اكتر لعبة البيبي بيحبها؟,"عيون مليانة استغراب ودهشة.
وكمان الأطفال في مصر بيحبوا اللعب والضحك. يعني تلاقي الأطفال دايماً في الشوارع والحدائق بيلعبوا مع بعض",3
2.0,ازاي الشجر بيساعد في صحة الاشخاص؟,"وده بيساعد في الحفاظ على موارد المياه.
وفي الأشجار",3
9.0, لما يجيلي ضيوف ينفع اشربهم مشروبات فيها كافيين؟,القهوة بتكون ليها دور اجتماعي كبير. في المناسبات والاحتفالات,3
6.0, ايه علاقة التعابين بالحضارة؟,"الثعابين موجودة وليها دور في البيئة الطبيعية.
أولاً",3
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,ودايماً بيحب يكتشف العالم اللي حواليه. والحلو في الأمر ده إنه بيخلي الكبار يشوفوا الدنيا بعيون جديدة,3
6.0, ايه علاقة التعابين بالحضارة؟,الثعبان ليه مكانة خاصة في التاريخ والثقافة. يعني,3
18.0,ايه هو المخ؟,العقل هو اللي بيساعده يخطط ويتخذ الخطوات اللازمة لتحقيقه. ودي حاجة مهمة جداً,3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,بيكون فيه اهتمام بالصحة النفسية للأم. بعد الولادة,3
13.0, ايه علاقة الاجانب بالمعدن الاصفر؟,"اللي بيضيف لها لمسة من الجمال والرقي.
وفي العالم",3
9.0, لما يجيلي ضيوف ينفع اشربهم مشروبات فيها كافيين؟,"الناس بتفضل تشرب القهوة عشان تحس بالدفا.
وكمان",3
18.0, ايه المشكلات اللي بيقابلها المخ؟,"ده كمان مسؤول عن مشاعرنا وذكرياتنا وكل حاجة بنعيشها.
أول حاجة لما بنتكلم عن العقل",3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,"وبيكون فيه تركيز على المكونات الطبيعية.
وفي موضوع المكياج",3
5.0,ايه هو عمل البنات في المجتمعات؟,"لكن برضه مهم جداً لأنه بيؤثر على تكوين الجيل الجديد وتنشئته.
في مجال العمل",3
3.0, ليه الست ترضع طبيعي احسن؟,فيه تحسن في خدمات الرعاية الصحية للحوامل,3
8.0, ايه علاقة الزيادة في الضريبة و ان واحد يبطل شرب؟,"وده بيكون ليه تأثير على الصحة العامة وعلى النظام الصحي.
وكمان",3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,"وبيكون مهم لناس كتير.
وفي الولادات والأعياد",3
11.0, الطقس المحيط بينا بيأثر على البشرة ازاي؟,الجلد بيكون ليه دور في التعبير عن الهوية الشخصية. يعني,3
17.0, ايه المشكلات اللي بتبقي قدام الاهل في انهم يربوا بيبي؟,الأطفال بيكون ليهم دور كبير. بيتلبسوا أحلى اللبس,3
18.0, ايه المشكلات اللي بيقابلها المخ؟,العقل بيكون له دور كبير في إزاي نتعامل مع الأزمات دي. بيساعدنا نفكر في حلول,3
6.0, التعابين بتسيطر علي ايه؟,"الثعابين موجودة وليها دور في البيئة الطبيعية.
أولاً",3
18.0, ايه المشكلات اللي بيقابلها المخ؟,العقل هو اللي بيساعده يخطط ويتخذ الخطوات اللازمة لتحقيقه. ودي حاجة مهمة جداً,3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,"وده بيكون مهم للستات المسلمات.
ومش بس كده",3
16.0, ليه بتحصل حادثة بسبب القطر بشكل مستمر؟,الناس كانت بتعتمد على القطار في السفر من مكان لمكان,3
4.0,الميكاب عبارة عن ايه؟,"وبيكون فيه تركيز على المكونات الطبيعية.
وفي موضوع المكياج",3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,"وكيفية التعامل مع البكاء والنوم وغيرها من التحديات.
ومش بس كده",3
3.0, ايه هي الاشكال اللي ممكن يولدوا بيها الستات؟,"وده بيكون له أثر إيجابي على الأم والطفل.
وكمان",3
8.0, ايه اللي موجود في السجارة يخلي الواحد مدمن؟,السجاير بيكون ليها تأثير على البيئة. يعني,3
10.0, الخضراوات بيخش في العلاج الطبيعي؟,فيه اهتمام بزراعة الخضار في البلكونات والأسطح. يعني,3
14.0, ايه المشروبات اللي تعتبر مصادر كويسة كا برويتن؟,اللبن بيستخدم كمان في وصفات الطبخ والحلويات. يعني,3
13.0, ايه المجال اللي بيستخدموه فيه المعدن الاصفر غير السلاسل؟,الذهب بيستخدم في مجال الساعات والمقتنيات الفاخرة. يعني,3
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,وبيروحوا الحدائق والملاهي,3
2.0, ايه علاقة الشجر بالمية؟,الأشجار بتكون جزء من التراث الثقافي. يعني,3
6.0, عايز اعرف حجم التعابين,فيه محاولات لحماية الثعابين من الانقراض. يعني,3
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,النهاردة هنتكلم عن موضوع مهم وقريب لقلوبنا كلنا,3
13.0, ايه علاقة الزخرفة بالمعدن الاصفر؟,الذهب بيكون ليه دور في الصناعات الحرفية اليدوية. يعني,3
2.0, ايه علاقة الشجر بالمية؟,الأشجار ليها أهمية خاصة. يعني مثلاً,3
16.0, ايه اللي بنشوفه لما نركب القطرة؟,وده بيخلق جو من الألفة والتقارب بين الناس. وفي القطار,3
8.0, شرب السجارة مؤثر علي الشغل؟,فيه تأثير للتدخين على البيئة بشكل عام. يعني,3
4.0, هو لازم يشيلوا الميكب قبل ما يناموا؟,"وده بيكون مهم للستات المسلمات.
ومش بس كده",3
16.0, ايه اللي بنشوفه لما نركب القطرة؟,والناس بتزاحم بعض عشان تلاقي مكان تقعد فيه. وعلى الرغم من كده,3
19.0, ايه اللي بيخلي الظاهرة تتعمل؟,لكن لما يمر من خلال طبقات الهوا اللي ليها درجات حرارة مختلفة,3
6.0, هو في انواع تعابين فيها سم وانواع لا؟,الثعابين ليها دور رمزي كبير. في كتير من الحضارات,3
2.0, ايه علاقة الشجر بالمية؟,الأشجار بتساعد في مواجهة تغير المناخ. يعني,3
19.0, بنتعلم اي من الظاهرة و المعاملة تبقي ازاي مع الدنيا؟,السراب بيفسر ليه أحياناً بنشوف الأشياء معوجة فوق الأرض السخنة,3
10.0, الخضراوات بيخش في العلاج الطبيعي؟,الخضار بتكون ليها دور في الحفاظ على صحة الجسم. يعني,3
11.0, هل فيه أكلات معينة بتساعد على اني احسن حالة البشرة,بيكون فيه تقدير كبير للجلد الصحي والنضر. يعني,3
14.0,ايه الفايتمينات اللي بتقوي عضمي؟,اللبن بيفيد الأمهات الحوامل. يعني,3
16.0, ايه اللي بنشوفه لما نركب القطرة؟,لازم نتكلم عن الجو الخاص اللي بيكون في القطارات المصرية. يعني لما تركب القطار,3
2.0, ايه علاقة الشجر بالمية؟,فيه تجديد للتركيز على استخدام الأشجار في التخطيط العمراني. يعني,3
6.0, عايز اعرف حجم التعابين,فيه توعية مهمة عن الثعابين. بيتم تعليم الناس إزاي يتعاملوا مع الثعابين لو قابلوها,3
10.0,اكل الخضراوات بيدينا ايه؟,بيكون فيه حملات لتشجيع الناس على أكل الخضار. يعني,3
17.0, ايه الاشياء الحلوة في اني اربي بيبي ؟,ده كمان طريقة ليهم عشان يتعلموا ويطوروا مهاراتهم. والكورة بالذات هي اللعبة المفضلة لكتير من الأطفال في مصر,3
11.0, الطقس المحيط بينا بيأثر على البشرة ازاي؟,"ده ممكن يأثر على صحة الجلد بتاعه
وكمان",3
17.0, ايه اكتر لعبة البيبي بيحبها؟,ده كمان وسيلة تعليمية قوية. يعني لما الطفل يلعب,3
13.0, ايه المجال اللي بيستخدموه فيه المعدن الاصفر غير السلاسل؟,الذهب بيستخدم في مجال البصريات والتصوير. يعني,3
17.0, ايه اكتر لعبة البيبي بيحبها؟,ودايماً بيحب يكتشف العالم اللي حواليه. والحلو في الأمر ده إنه بيخلي الكبار يشوفوا الدنيا بعيون جديدة,3
13.0, ايه علاقة الزخرفة بالمعدن الاصفر؟,الذهب بيستخدم في الصناعات المختلفة. يعني,3
18.0,ايه هو المخ؟,وهي العقل. العقل ده أغلى حاجة عند الإنسان,3
16.0, ايه المشكلة اللي بتبقي قدام القطرة؟,بتلاقي عربيات البيع بتمر بين الكراسي,3
7.0,ايه هي اسامى الباندات اللي كان ليها بصمة علي المزيكا في الستين؟,"وده كان ليه تأثير على الثقافة المصرية.
وفي بريطانيا في الستينيات",3
19.0, ايه اللي بيخلي الظاهرة تتعمل؟,زي البحر مثلاً. الفكرة هنا نفسها,3
4.0, هو لازم يشيلوا الميكب قبل ما يناموا؟,ده موضوع بيهم كتير من الناس في مصر. المكياج مش بس وسيلة للتجميل,3
2.0, ايه علاقة المشروعات بالشجر؟,الأشجار ليها أهمية خاصة. يعني مثلاً,3
10.0,اكل الخضراوات بيدينا ايه؟,بيحاولوا يزرعوا خضار بدون مبيدات أو كيماويات,3
2.0, ايه علاقة المشروعات بالشجر؟,الأشجار بتكون جزء من التراث الثقافي. يعني,3
2.0, ايه علاقة المشروعات بالشجر؟,الأشجار بتساعد في مواجهة تغير المناخ. يعني,3
13.0, ايه المجال اللي بيستخدموه فيه المعدن الاصفر غير السلاسل؟,الذهب بيستخدم في صناعة الحُلي والمجوهرات. يعني,3
19.0, ايه اللي بيخلي الظاهرة تتعمل؟,ده كمان بيفسر حاجات كتيرة تانية في الطبيعة. يعني مثلاً,3
3.0, ليه الست ترضع طبيعي احسن؟,"وده بيحتاج لدعم ورعاية خاصة.
ومش بس كده",3
16.0, ليه بتحصل حادثة بسبب القطر بشكل مستمر؟,والناس بتزاحم بعض عشان تلاقي مكان تقعد فيه. وعلى الرغم من كده,3
5.0, البنات بتخترع حاجات؟,الستات المصريات بيكون ليهم دور مهم في تعليم وتثقيف الأجيال الجديدة. سواء كمعلمات أو أساتذة جامعات,3
17.0, الاطفال بتقابل مشاكل زي ايه؟,الأطفال في مصر بيواجهوا تحديات تعليمية كبيرة. يعني النظام التعليمي محتاج لتطوير,3
4.0, الميكب ليه اكتر من نوع براند؟,المكياج بيكون ليه دور كبير في الاحتفالات. يعني,3
5.0, ايه علاقة البنات بالشغل؟,"الستات بيثبتوا قدرتهم على الإبداع والتميز في شتى المجالات.
وكمان",3
8.0, ايه اللي موجود في السجارة يخلي الواحد مدمن؟,فيه منتجات زي السجاير الإلكترونية اللي بيقولوا إنها أقل ضرراً,3
5.0, ايه علاقة البنات بالشغل؟,الستات بيكون ليهم دور أساسي في الاقتصاد. يعني,3
10.0, في مطعم بيركزعلي انه يقدم الخضراوات؟,بيكون فيه اهتمام بزراعة الخضار. يعني,3
3.0,لما حد بيولد بتبقي ايه؟,"وكيفية التعامل مع البكاء والنوم وغيرها من التحديات.
ومش بس كده",3
18.0, المخ محتاج لايه؟,"ده كمان مسؤول عن مشاعرنا وذكرياتنا وكل حاجة بنعيشها.
أول حاجة لما بنتكلم عن العقل",3
3.0,لما حد بيولد بتبقي ايه؟,"وده بيكون له أثر إيجابي على الأم والطفل.
وكمان",3
9.0, هو المشروبات اللي فيها كافيين بيساعد علي الكتابة؟,بيكون فيه نقاشات حول الكمية المناسبة لشرب القهوة. يعني,3
8.0, ايه المرض اللي بيجي من السجارة؟,بيكون فيه مناقشات حول الضرائب على السجاير. يعني,3
3.0,لما حد بيولد بتبقي ايه؟,"وده بيحتاج لدعم ورعاية خاصة.
ومش بس كده",3
16.0,لو هسافر بالقطر هيبقي مكلف؟,وده بيخلق جو من الألفة والتقارب بين الناس. وفي القطار,3
17.0, ايه المشكلات اللي بتبقي قدام الاهل في انهم يربوا بيبي؟,والضحكة مش بتفارق وشوشهم. اللعب ده مش بس وسيلة تسلية,3
11.0, ازاي ممكن نحافظ على حلاوة البشرة عن طريق حاجات طبيعية؟,"فيه طرق تقليدية موروثة للعناية بالجلد مثل استخدام الماسكات الطبيعية.
وكمان",3
3.0,لما حد بيولد بتبقي ايه؟,بيكون فيه اهتمام بالصحة النفسية للأم. بعد الولادة,3
5.0, ايه علاقة البنات بالشغل؟,فيه تركيز على دعم المرأة في مجال الفنون. سواء كرسامات أو موسيقيات أو كاتبات,3
5.0, هو البنات بتمثل؟,الستات المصريات بيكون ليهم دور مهم. بيشاركوا كممثلات,3
17.0, الاطفال بتقابل مشاكل زي ايه؟,الأطفال بيكون ليهم دور كبير. بيتلبسوا أحلى اللبس,3
18.0, المخ محتاج لايه؟,النهاردة هنتكلم عن حاجة مهمة جداً في حياتنا,3
5.0, هو البنات بتمثل؟,"الستات بيثبتوا قدرتهم على الإبداع والتميز في شتى المجالات.
وكمان",3
17.0, ايه المشكلات اللي بتبقي قدام الاهل في انهم يربوا بيبي؟,ودايماً بيحب يكتشف العالم اللي حواليه. والحلو في الأمر ده إنه بيخلي الكبار يشوفوا الدنيا بعيون جديدة,3
10.0, في مطعم بيركزعلي انه يقدم الخضراوات؟,فيه اهتمام بزراعة الخضار في البلكونات والأسطح. يعني,3
13.0, المعدن النفيس ده ليه فايدة إيه في البورصة والاستثمار؟,الذهب بيكون ليه دور في الصناعات الحرفية اليدوية. يعني,3
17.0,ايه اللي في البداية بناخد بالنا منه في البيبي؟,النهاردة هنتكلم عن موضوع مهم وقريب لقلوبنا كلنا,3
17.0, الاطفال بتقابل مشاكل زي ايه؟,وبتعلمهم قيم زي العمل الجماعي والإصرار. وفي مصر,3
17.0, الاطفال بتقابل مشاكل زي ايه؟,والضحكة مش بتفارق وشوشهم. اللعب ده مش بس وسيلة تسلية,3
17.0,ايه اللي في البداية بناخد بالنا منه في البيبي؟,بيكتسب مهارات جديدة وبيتعلم حاجات مهمة زي حل المشاكل والتفاعل مع الآخرين. وفي مصر,3
15.0, البلاستيكات سهل اني اصنع منها حاجه ولا صعب؟,البلاستيك بيستخدم في صناعة الملابس والمنسوجات. يعني,3
5.0, البنات بتزرع؟,"الستات بيثبتوا قدرتهم على الإبداع والتميز في شتى المجالات.
وكمان",3
5.0, البنات بتزرع؟,الستات بيكون ليهم دور أساسي في الاقتصاد. يعني,3
10.0, في مطعم بيركزعلي انه يقدم الخضراوات؟,فيه تقدير للفلاحين اللي بيزرعوا الخضار. يعني,3
17.0, الاطفال بتقابل مشاكل زي ايه؟,بيبقى ليهم تأثير سحري على الكبار. الطفل المصري بيتربى في جو عائلي دافئ,3
17.0,ايه اللي في البداية بناخد بالنا منه في البيبي؟,ودايماً بيحب يكتشف العالم اللي حواليه. والحلو في الأمر ده إنه بيخلي الكبار يشوفوا الدنيا بعيون جديدة,3
4.0, الميكب ليه اكتر من نوع براند؟,"وده بيكون مهم للستات المسلمات.
ومش بس كده",3
10.0, في مطعم بيركزعلي انه يقدم الخضراوات؟,"وده بيكون ليه فوائد صحية كتير.
وفي العالم",3
10.0, في مطعم بيركزعلي انه يقدم الخضراوات؟,بيكون فيه مسابقات لأحسن أطباق بتستخدم الخضار. يعني,3
18.0, المخ محتاج لايه؟,العقل هو اللي بيساعده يخطط ويتخذ الخطوات اللازمة لتحقيقه. ودي حاجة مهمة جداً,3
5.0, ايه علاقة البنات بالشغل؟,الستات المصريات بيكون ليهم دور مهم. بيشاركوا كممثلات,3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,"الناس بتستخدم المكياج لإضافة لمسة جمالية خاصة للمناسبات دي.
ومش بس كده",3
5.0, هو البنات بتمثل؟,الستات بيكون ليهم دور أساسي في الاقتصاد. يعني,3
4.0, انواع الميكاب ايه؟,"فيه خيارات تناسب كل الفئات والاحتياجات.
ومش بس كده",3
11.0, ازاي ممكن نعرف إذا كانت بشرتنا محتاجة متخصص ولا لأ؟,بيكون فيه اهتمام بتطوير تقنيات جديدة لعلاج مشاكل الجلد. يعني,3
3.0, ليه لازم يكون في عملية تحسين الوضع المزاجي للست قبل ما تولد؟,"وده بيساعد في تأمين صحة الأم والطفل.
وفي موضوع الولادة",3
18.0, ايه اللي بيبين ان المخ قوي؟,العقل بيكون له دور كبير في إزاي نتعامل مع الأزمات دي. بيساعدنا نفكر في حلول,3
18.0, ايه اللي بيبين ان المخ قوي؟,العقل هو اللي بيساعده يخطط ويتخذ الخطوات اللازمة لتحقيقه. ودي حاجة مهمة جداً,3
11.0, ازاي ممكن نعرف إذا كانت بشرتنا محتاجة متخصص ولا لأ؟,بيكون فيه تأكيد على أهمية الجلد كحاجز وقائي. يعني,3
3.0, ليه لازم يكون في عملية تحسين الوضع المزاجي للست قبل ما تولد؟,فيه تحسن في خدمات الرعاية الصحية للحوامل,3
5.0, البنات بتخترع حاجات؟,الستات المصريات بيكون ليهم دور مهم. بيشاركوا كممثلات,3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,ده موضوع بيهم كتير من الناس في مصر. المكياج مش بس وسيلة للتجميل,3
10.0, الخضراوات بيمنع عننا مرض زي ايه؟,عندنا خضار زي الطماطم,3
8.0, ايه علاقة الزيادة في الضريبة و ان واحد يبطل شرب؟,فيه تأثير للتدخين على المنازل والأسر. يعني,3
11.0, ازاي ممكن نعرف إذا كانت بشرتنا محتاجة متخصص ولا لأ؟,بيكون فيه وعي بأهمية التغذية الصحية للجلد. يعني,3
5.0,ايه هو عمل البنات في المجتمعات؟,"بيساهموا في بناء مستقبل أفضل للشباب.
في السياسة والمجتمع المدني",3
18.0, ايه اللي بيبين ان المخ قوي؟,"ده كمان مسؤول عن مشاعرنا وذكرياتنا وكل حاجة بنعيشها.
أول حاجة لما بنتكلم عن العقل",3
16.0, ليه بتحصل حادثة بسبب القطر بشكل مستمر؟,وده بيخلي ناس كتير تفكر مرتين قبل ما تركب القطار. ومع ذلك,3
4.0, تقدر تقولي زمان كانوا عندهم ميكاب ولا لا؟,"فيه خيارات تناسب كل الفئات والاحتياجات.
ومش بس كده",3
17.0, ايه المشكلات اللي بتبقي قدام الاهل في انهم يربوا بيبي؟,"الأهالي بيحرصوا على اختيار الألعاب اللي بتناسب سن أولادهم وتساعد على تطورهم.
وبالحديث عن التعليم",3
3.0, ليه الست ترضع طبيعي احسن؟,"وكيفية التعامل مع البكاء والنوم وغيرها من التحديات.
ومش بس كده",3
3.0, ليه الست ترضع طبيعي احسن؟,"وكمان لضمان صحة جيدة ليهم.
وفي مصر",3
17.0, ايه المشكلات اللي بتبقي قدام الاهل في انهم يربوا بيبي؟,بيبقى ليهم تأثير سحري على الكبار. الطفل المصري بيتربى في جو عائلي دافئ,3
11.0, ازاي ممكن نعرف إذا كانت بشرتنا محتاجة متخصص ولا لأ؟,الوعي بأهمية الفحص الدوري للجلد بيزيد. يعني,3
